Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
w132,3415.2999999979893,1526.8488823097514,452.5973695723904,2000.0,0.95,2.0,1.0,27.708959999999998,-0.25665664,1
c70,3416.1999999979885,2966.6262112331833,1975.261584770283,2000.0,1.05,2.0,1.0,11.86742,-1.5,1
p41,3418.5999999979863,2954.349181716705,1951.113567221935,1900.0,1.0,2.0,1.0,11.86742,-1.5,1
w126,3439.799999997967,3106.9048052983603,942.1198561918069,2100.0,1.05,2.0,1.0,15.26294,-0.45579296,1
p2,3504.1999999979084,1243.2750683301501,1718.5312577647803,1900.0,1.0,2.0,1.0,10.00332,-1.5,1
w108,3741.4999999976926,1853.197928779436,424.6088384816207,2000.0,0.95,2.0,1.0,18.33796,-0.40659264000000006,1
w148,3745.1999999976892,1832.7167939425476,443.85803792914834,2100.0,0.95,2.0,1.0,18.33796,-0.40659264000000006,1
p39,3861.899999997583,2322.940960720504,788.8627685207293,2100.0,1.05,2.0,1.0,16.183139999999998,-0.44106976000000003,1
w141,3875.199999997571,2664.6430802508494,516.5137721069485,2000.0,1.05,2.0,1.0,12.34868,-1.5,1
w106,3900.0999999975484,2981.8569388464985,1612.494242364155,1900.0,1.0,2.0,1.0,48.88532,0.08216511999999998,2
c60,3901.2999999975473,1105.0175848933868,894.2119941841811,1900.0,0.95,1.5,1.5,34.31018,0.34896288000000003,2
c95,3902.9999999975457,1364.2689001269755,1435.0348289638387,1900.0,0.9,2.0,2.1666666666666665,33.78112,0.34049792000000006,2
p38,3903.2999999975455,2212.8993049020696,1056.7669633372075,1900.0,1.0,1.5,1.5,14.15476,0.02647616,2
w121,3910.399999997539,1739.5781405912471,1282.5327504360603,1800.0,0.95,2.0,1.25,74.91464,0.9986342400000003,2
w120,3913.1999999975365,1631.4226218888914,637.4576863604784,2100.0,1.05,2.0,1.0,16.14156,-0.44173504,1
c88,3913.699999997536,1754.4928988402112,1286.43681985001,2000.0,1.05,2.0,1.0,16.451060000000002,-0.43678304,1
c94,3923.0999999975274,2736.1543501046485,271.14652577874284,1900.0,1.0,1.5,1.5,12.34868,-1.0,2
c64,3923.399999997527,1594.531963871652,1022.2244977317041,1800.0,0.9,2.0,1.0,14.75076,-0.46398784000000004,2
c78,3956.599999997497,2743.846721528098,965.9488524002954,1900.0,0.95,1.0,2.0,0.0,-1.5,2
p30,3960.3999999974935,1130.0022665291178,1328.2757720767547,2000.0,0.95,2.0,1.0,12.57672,-0.49877248,2
c71,3961.7999999974923,1640.457320551721,1265.591362843692,1900.0,0.95,2.0,1.0,37.3827,-0.10187679999999993,2
p35,3963.0,1109.2978367485084,949.8028741073263,1900.0,0.95,2.0,1.0,15.867700000000001,-0.4461168,1
c82,3963.0,2942.3484909904128,1561.072990403915,1800.0,1.1,1.5,1.5,31.30136,0.30082176,2
p27,3966.1999999974882,1110.5550609580528,966.1313992595493,2100.0,1.05,2.0,1.0,15.867700000000001,-0.4461168,1
c84,3966.599999997488,2771.024919479649,2431.6292989763706,2000.0,1.0,2.0,1.25,12.79186,0.004669759999999995,2
w123,4000.9999999974566,2003.2722208264959,768.8329925163035,1900.0,1.0,2.0,1.0,39.901720000000005,-0.061572479999999874,2
p20,4003.2999999974545,1854.5609307608063,1272.5996761737176,2100.0,0.9,1.5,1.5,19.11974,0.10591583999999998,2
t153,4003.699999997454,1986.1093477183022,748.7986176125705,1900.0,1.05,2.0,1.0,1.3340859999999999,-1.5,1
t152,4003.999999997454,2743.846721528098,965.9488524002954,2000.0,1.0,1.5,1.5,2.884342,-1.0,2
w143,4006.6999999974514,397.5572756693557,1531.663108958586,2100.0,1.1,2.0,1.0,47.98066,0.06769056000000018,2
w107,4006.999999997451,4133.258769823337,1104.5931599151859,1900.0,1.0,1.5,1.5,17.69726,0.08315616000000003,2
c66,4009.6999999974487,2692.351371957441,959.578706301118,1900.0,1.0,1.0,2.0,16.755200000000002,-0.43191679999999993,1
c51,4010.599999997448,4139.4607354612845,1101.2246961462008,2000.0,0.95,2.0,1.0,17.69726,-0.41684383999999997,1
w142,4011.8999999974467,1242.9439849402434,1684.0179320842883,2000.0,1.1,2.0,1.0,53.474639999999994,0.15559423999999988,2
